AHRI Ref. #,Outdoor Unit Brand Name,Outdoor Unit Series Name,Outdoor Unit Model Number,Indoor Unit Brand Name,Mini/Multi-Split Indoor Unit Type,Indoor Unit Model Number,Furnace Model Number,"Cooling Capacity (95F), btuh (Appendix M1) *",EER2 (95F) (Appendix M1) *,SEER2 (Appendix M1) *,"Cooling Capacity (95F), btuh (Appendix M) *",EER (95F) (Appendix M) *,IEER (95F) (Appendix M) *,SEER (Appendix M) *,"Full-Load Cooling Air Volume Rate, scfm (Appendix M1)","Full-Load Cooling Air Volume Rate, scfm (Appendix M)","Intermediate Cooling Air Volume Rate, scfm (Appendix M)","Minimum Cooling Air Volume Rate, scfm (Appendix M)",Model Status,Manufacturer Type,AHRI Type,Split or Packaged?,Phase,Designated Tested Combination?,Region,Refrigerant Type,Sold In?,CEE Tier,Energy Guide Label,ENERGY STAR ® Certified?,Potential Eligibility for IRA Tax Credit,Is Rerated
215331752,AMANA,ALXS3B,ALXS3BN2410,AMANA,,CAPTA2422,A*VC800603B*A*,23400,11.2,14.5,,,,,700,700,,,Production Stopped,Systems,RCUY-A-CB,Split,1,No,North,R-32,USA,,,No,No,No
215331755,AMANA,ALXS3B,ALXS3BN2410,AMANA,,CAPTA3022,A*VM970804CNB*,23000,11.2,14.5,,,,,700,700,,,Production Stopped,Systems,RCUY-A-CB,Split,1,No,North,R-32,"USA, Canada",,,No,No,No
215331756,AMANA,ALXS3B,ALXS3BN2410,AMANA,,CAPTA2422,A*VM970804CNB*,23000,11.2,14.5,,,,,700,700,,,Production Stopped,Systems,RCUY-A-CB,Split,1,No,North,R-32,"USA, Canada",,,No,No,No
215331759,AMANA,ALXS3B,ALXS3BN2410,AMANA,,CAPTA3022,A*VM970803BNB*,23200,11.2,14,,,,,700,700,,,Production Stopped,Systems,RCUY-A-CB,Split,1,No,North,R-32,"USA, Canada",,,No,No,No
215331760,AMANA,ALXS3B,ALXS3BN2410,AMANA,,CAPTA2422,A*VM970803BNB*,23200,11.2,14,,,,,700,700,,,Production Stopped,Systems,RCUY-A-CB,Split,1,No,North,R-32,"USA, Canada",,,No,No,No
215331763,AMANA,ALXS3B,ALXS3BN2410,AMANA,,CAPTA3022,A*VM970603BNB*,23200,11.2,14,,,,,700,700,,,Production Stopped,Systems,RCUY-A-CB,Split,1,No,North,R-32,"USA, Canada",,,No,No,No
215331764,AMANA,ALXS3B,ALXS3BN2410,AMANA,,CAPTA2422,A*VM970603BNB*,23200,11.2,14,,,,,700,700,,,Production Stopped,Systems,RCUY-A-CB,Split,1,No,North,R-32,"USA, Canada",,,No,No,No
215327003,AMANA,ALXS3B,ALXS3BN2410,AMANA,,CAPTA3022,AM9C960803BNA*,23200,11.2,14,,,,,810,810,,,Production Stopped,Systems,RCUY-A-CB,Split,1,No,North,R-32,"USA, Canada",,,No,No,No
215327004,AMANA,ALXS3B,ALXS3BN2410,AMANA,,CAPTA2422,AM9C960803BNA*,23200,11.2,14,,,,,810,810,,,Production Stopped,Systems,RCUY-A-CB,Split,1,No,North,R-32,"USA, Canada",,,No,No,No
215327007,AMANA,ALXS3B,ALXS3BN2410,AMANA,,CAPTA3022,AM9C800803B*A*,23400,11.2,14,,,,,720,720,,,Production Stopped,Systems,RCUY-A-CB,Split,1,No,North,R-32,USA,,,No,No,No
215327008,AMANA,ALXS3B,ALXS3BN2410,AMANA,,CAPTA2422,AM9C800803B*A*,23400,11.2,14,,,,,720,720,,,Production Stopped,Systems,RCUY-A-CB,Split,1,No,North,R-32,USA,,,No,No,No
215327011,AMANA,ALXS3B,ALXS3BN2410,AMANA,,CAPTA3022,AM9S960803BNA*,23200,11.2,14,,,,,820,820,,,Production Stopped,Systems,RCUY-A-CB,Split,1,No,North,R-32,"USA, Canada",,,No,No,No
215327012,AMANA,ALXS3B,ALXS3BN2410,AMANA,,CAPTA2422,AM9S960803BNA*,23200,11.2,14,,,,,820,820,,,Production Stopped,Systems,RCUY-A-CB,Split,1,No,North,R-32,"USA, Canada",,,No,No,No
215327015,AMANA,ALXS3B,ALXS3BN2410,AMANA,,CAPTA3022,AM9S920803BNA*,23200,11.2,14,,,,,830,830,,,Production Stopped,Systems,RCUY-A-CB,Split,1,No,North,R-32,USA,,,No,No,No
215327016,AMANA,ALXS3B,ALXS3BN2410,AMANA,,CAPTA2422,AM9S920803BNA*,23200,11.2,14,,,,,830,830,,,Production Stopped,Systems,RCUY-A-CB,Split,1,No,North,R-32,USA,,,No,No,No
215327019,AMANA,ALXS3B,ALXS3BN2410,AMANA,,CAPTA3022,AM9S800803B*A*,23400,11.2,14,,,,,730,730,,,Production Stopped,Systems,RCUY-A-CB,Split,1,No,North,R-32,USA,,,No,No,No
215327020,AMANA,ALXS3B,ALXS3BN2410,AMANA,,CAPTA2422,AM9S800803B*A*,23400,11.2,14,,,,,730,730,,,Production Stopped,Systems,RCUY-A-CB,Split,1,No,North,R-32,USA,,,No,No,No
215327023,AMANA,ALXS3B,ALXS3BN2410,AMANA,,CAPTA3022,AC9C960803BNA*,22800,11.2,13.8,,,,,820,820,,,Production Stopped,Systems,RCUY-A-CB,Split,1,No,North,R-32,"USA, Canada",,,No,No,No
215327024,AMANA,ALXS3B,ALXS3BN2410,AMANA,,CAPTA2422,AC9C960803BNA*,22800,11.2,13.8,,,,,820,820,,,Production Stopped,Systems,RCUY-A-CB,Split,1,No,North,R-32,"USA, Canada",,,No,No,No
215328260,AMANA,ALXS3B,ALXS3BN2410,AMANA,,CAPTA3022,AM9C960804CNA*,23000,11.2,14.5,,,,,760,760,,,Production Stopped,Systems,RCUY-A-CB,Split,1,No,North,R-32,"USA, Canada",,,No,No,No
215328261,AMANA,ALXS3B,ALXS3BN2410,AMANA,,CAPTA2422,AM9C960804CNA*,23000,11.2,14.5,,,,,760,760,,,Production Stopped,Systems,RCUY-A-CB,Split,1,No,North,R-32,"USA, Canada",,,No,No,No
215328264,AMANA,ALXS3B,ALXS3BN2410,AMANA,,CAPTA3022,AM9C800804C*A*,23400,11.2,14.5,,,,,840,840,,,Production Stopped,Systems,RCUY-A-CB,Split,1,No,North,R-32,USA,,,No,No,No
215328265,AMANA,ALXS3B,ALXS3BN2410,AMANA,,CAPTA2422,AM9C800804C*A*,23400,11.2,14.5,,,,,840,840,,,Production Stopped,Systems,RCUY-A-CB,Split,1,No,North,R-32,USA,,,No,No,No
215328268,AMANA,ALXS3B,ALXS3BN2410,AMANA,,CAPTA3022,AM9C800804B*A*,23400,11.2,14,,,,,780,780,,,Production Stopped,Systems,RCUY-A-CB,Split,1,No,North,R-32,USA,,,No,No,No
215328269,AMANA,ALXS3B,ALXS3BN2410,AMANA,,CAPTA2422,AM9C800804B*A*,23400,11.2,14,,,,,780,780,,,Production Stopped,Systems,RCUY-A-CB,Split,1,No,North,R-32,USA,,,No,No,No
215328272,AMANA,ALXS3B,ALXS3BN2410,AMANA,,CAPTA3022,AM9S960804CNA*,23000,11.2,14.5,,,,,850,850,,,Production Stopped,Systems,RCUY-A-CB,Split,1,No,North,R-32,"USA, Canada",,,No,No,No
215328273,AMANA,ALXS3B,ALXS3BN2410,AMANA,,CAPTA2422,AM9S960804CNA*,23000,11.2,14.5,,,,,850,850,,,Production Stopped,Systems,RCUY-A-CB,Split,1,No,North,R-32,"USA, Canada",,,No,No,No
215328276,AMANA,ALXS3B,ALXS3BN2410,AMANA,,CAPTA3022,AM9S800804C*A*,23400,11.2,14.5,,,,,840,840,,,Production Stopped,Systems,RCUY-A-CB,Split,1,No,North,R-32,USA,,,No,No,No
215328277,AMANA,ALXS3B,ALXS3BN2410,AMANA,,CAPTA2422,AM9S800804C*A*,23400,11.2,14.5,,,,,840,840,,,Production Stopped,Systems,RCUY-A-CB,Split,1,No,North,R-32,USA,,,No,No,No
215328280,AMANA,ALXS3B,ALXS3BN2410,AMANA,,CAPTA3022,AM9S800804B*A*,23400,11.2,14,,,,,830,830,,,Production Stopped,Systems,RCUY-A-CB,Split,1,No,North,R-32,USA,,,No,No,No
215328281,AMANA,ALXS3B,ALXS3BN2410,AMANA,,CAPTA2422,AM9S800804B*A*,23400,11.2,14,,,,,830,830,,,Production Stopped,Systems,RCUY-A-CB,Split,1,No,North,R-32,USA,,,No,No,No
215328284,AMANA,ALXS3B,ALXS3BN2410,AMANA,,CAPTA3022,AM9S800604B*A*,23400,11.2,14,,,,,840,840,,,Production Stopped,Systems,RCUY-A-CB,Split,1,No,North,R-32,USA,,,No,No,No
215328285,AMANA,ALXS3B,ALXS3BN2410,AMANA,,CAPTA2422,AM9S800604B*A*,23400,11.2,14,,,,,840,840,,,Production Stopped,Systems,RCUY-A-CB,Split,1,No,North,R-32,USA,,,No,No,No
215328288,AMANA,ALXS3B,ALXS3BN2410,AMANA,,CAPTA3022,AC9S960804CNA*,22800,11.2,14,,,,,860,860,,,Production Stopped,Systems,RCUY-A-CB,Split,1,No,North,R-32,"USA, Canada",,,No,No,No
215328289,AMANA,ALXS3B,ALXS3BN2410,AMANA,,CAPTA2422,AC9S960804CNA*,22800,11.2,14,,,,,860,860,,,Production Stopped,Systems,RCUY-A-CB,Split,1,No,North,R-32,"USA, Canada",,,No,No,No
215325726,AMANA,ALXS3B,ALXS3BN2410,AMANA,,CAPTA3022,AM9C960603BNA*,23200,11.2,14,,,,,820,820,,,Production Stopped,Systems,RCUY-A-CB,Split,1,No,North,R-32,"USA, Canada",,,No,No,No
215325727,AMANA,ALXS3B,ALXS3BN2410,AMANA,,CAPTA2422,AM9C960603BNA*,23200,11.2,14,,,,,820,820,,,Production Stopped,Systems,RCUY-A-CB,Split,1,No,North,R-32,"USA, Canada",,,No,No,No
215325730,AMANA,ALXS3B,ALXS3BN2410,AMANA,,CAPTA3022,AM9C800603B*A*,23400,11.2,14,,,,,850,850,,,Production Stopped,Systems,RCUY-A-CB,Split,1,No,North,R-32,USA,,,No,No,No
215325731,AMANA,ALXS3B,ALXS3BN2410,AMANA,,CAPTA2422,AM9C800603B*A*,23400,11.2,14,,,,,850,850,,,Production Stopped,Systems,RCUY-A-CB,Split,1,No,North,R-32,USA,,,No,No,No
215325734,AMANA,ALXS3B,ALXS3BN2410,AMANA,,CAPTA3022,AM9S960603BNA*,23200,11.2,14,,,,,820,820,,,Production Stopped,Systems,RCUY-A-CB,Split,1,No,North,R-32,"USA, Canada",,,No,No,No
215325735,AMANA,ALXS3B,ALXS3BN2410,AMANA,,CAPTA2422,AM9S960603BNA*,23200,11.2,14,,,,,820,820,,,Production Stopped,Systems,RCUY-A-CB,Split,1,No,North,R-32,"USA, Canada",,,No,No,No
215325738,AMANA,ALXS3B,ALXS3BN2410,AMANA,,CAPTA3022,AM9S920603BNA*,23200,11.2,14,,,,,750,750,,,Production Stopped,Systems,RCUY-A-CB,Split,1,No,North,R-32,USA,,,No,No,No
215325739,AMANA,ALXS3B,ALXS3BN2410,AMANA,,CAPTA2422,AM9S920603BNA*,23200,11.2,14,,,,,750,750,,,Production Stopped,Systems,RCUY-A-CB,Split,1,No,North,R-32,USA,,,No,No,No
215325742,AMANA,ALXS3B,ALXS3BN2410,AMANA,,CAPTA3022,AM9S800603B*A*,23400,11.2,14,,,,,850,850,,,Production Stopped,Systems,RCUY-A-CB,Split,1,No,North,R-32,USA,,,No,No,No
215325743,AMANA,ALXS3B,ALXS3BN2410,AMANA,,CAPTA2422,AM9S800603B*A*,23400,11.2,14,,,,,850,850,,,Production Stopped,Systems,RCUY-A-CB,Split,1,No,North,R-32,USA,,,No,No,No
