AHRI Ref. #,Outdoor Unit Brand Name,Outdoor Unit Series Name,Outdoor Unit Model Number,Indoor Unit Brand Name,Mini/Multi-Split Indoor Unit Type,Indoor Unit Model Number,Furnace Model Number,"Cooling Capacity (95F), btuh (Appendix M1) *",EER2 (95F) (Appendix M1) *,SEER2 (Appendix M1) *,"Cooling Capacity (95F), btuh (Appendix M) *",EER (95F) (Appendix M) *,IEER (95F) (Appendix M) *,SEER (Appendix M) *,"Full-Load Cooling Air Volume Rate, scfm (Appendix M1)","Full-Load Cooling Air Volume Rate, scfm (Appendix M)","Intermediate Cooling Air Volume Rate, scfm (Appendix M)","Minimum Cooling Air Volume Rate, scfm (Appendix M)",Model Status,Manufacturer Type,AHRI Type,Split or Packaged?,Phase,Designated Tested Combination?,Region,Refrigerant Type,Sold In?,CEE Tier,Energy Guide Label,ENERGY STAR ® Certified?,Potential Eligibility for IRA Tax Credit,Is Rerated
215489186,AMANA,AXV6SA,AXV6SA1810,AMANA,,CAPEA3022+MBVK16CP1X00A*,,17100,12,18.5,,,,,610,610,420,420,Active,Systems,RCU-A-CB,Split,1,No,All,R-32,"USA, Canada",CEE Tier 1,,No,Yes,No
215489187,AMANA,AXV6SA,AXV6SA1810,AMANA,,CAPEA2418+MBVK16CP1X00A*,,17100,12,18.5,,,,,610,610,420,420,Active,Systems,RCU-A-CB,Split,1,No,All,R-32,"USA, Canada",CEE Tier 1,,No,Yes,No
215489189,AMANA,AXV6SA,AXV6SA1810,AMANA,,CAPEA3022+MBVK12BP1X00A*,,17100,12,18.5,,,,,610,610,420,420,Active,Systems,RCU-A-CB,Split,1,No,All,R-32,"USA, Canada",CEE Tier 1,,No,Yes,No
215489190,AMANA,AXV6SA,AXV6SA1810,AMANA,,CAPEA2418+MBVK12BP1X00A*,,17100,12,18.5,,,,,610,610,420,420,Active,Systems,RCU-A-CB,Split,1,No,All,R-32,"USA, Canada",CEE Tier 1,,No,Yes,No
215489191,AMANA,AXV6SA,AXV6SA1810,AMANA,,CAPEA3022,ADVT960804C,17100,12,18.5,,,,,610,610,420,420,Active,Systems,RCUY-A-CB,Split,1,No,All,R-32,"USA, Canada",CEE Tier 1,,No,Yes,No
215489192,AMANA,AXV6SA,AXV6SA1810,AMANA,,CAPEA2418,ADVT960804C,17100,12,18.5,,,,,610,610,420,420,Active,Systems,RCUY-A-CB,Split,1,No,All,R-32,"USA, Canada",CEE Tier 1,,No,Yes,No
215489194,AMANA,AXV6SA,AXV6SA1810,AMANA,,CAPEA3022,A*VT960803BNA*,17100,12,18.5,,,,,610,610,420,420,Active,Systems,RCUY-A-CB,Split,1,No,All,R-32,"USA, Canada",CEE Tier 1,,No,Yes,No
215489195,AMANA,AXV6SA,AXV6SA1810,AMANA,,CAPEA2418,A*VT960803BNA*,17100,12,18.5,,,,,610,610,420,420,Active,Systems,RCUY-A-CB,Split,1,No,All,R-32,"USA, Canada",CEE Tier 1,,No,Yes,No
215489197,AMANA,AXV6SA,AXV6SA1810,AMANA,,CAPEA3022,ADVT960603B,17100,12,18.5,,,,,610,610,420,420,Active,Systems,RCUY-A-CB,Split,1,No,All,R-32,"USA, Canada",CEE Tier 1,,No,Yes,No
215489198,AMANA,AXV6SA,AXV6SA1810,AMANA,,CAPEA2418,ADVT960603B,17100,12,18.5,,,,,610,610,420,420,Active,Systems,RCUY-A-CB,Split,1,No,All,R-32,"USA, Canada",CEE Tier 1,,No,Yes,No
215489200,AMANA,AXV6SA,AXV6SA1810,AMANA,,CAPEA3022,ADVT960403B,17100,12,18.5,,,,,610,610,420,420,Active,Systems,RCUY-A-CB,Split,1,No,All,R-32,"USA, Canada",CEE Tier 1,,No,Yes,No
215489201,AMANA,AXV6SA,AXV6SA1810,AMANA,,CAPEA2418,ADVT960403B,17100,12,18.5,,,,,610,610,420,420,Active,Systems,RCUY-A-CB,Split,1,No,All,R-32,"USA, Canada",CEE Tier 1,,No,Yes,No
215489202,AMANA,AXV6SA,AXV6SA1810,AMANA,,CAPEA3022,ADVT800805C,17100,12,18.5,,,,,610,610,420,420,Active,Systems,RCUY-A-CB,Split,1,No,All,R-32,USA,CEE Tier 1,,No,Yes,No
215489203,AMANA,AXV6SA,AXV6SA1810,AMANA,,CAPEA2418,ADVT800805C,17100,12,18.5,,,,,610,610,420,420,Active,Systems,RCUY-A-CB,Split,1,No,All,R-32,USA,CEE Tier 1,,No,Yes,No
215489204,AMANA,AXV6SA,AXV6SA1810,AMANA,,CAPEA3022,A*VT800804C*A*,17100,12,18.5,,,,,610,610,420,420,Active,Systems,RCUY-A-CB,Split,1,No,All,R-32,USA,CEE Tier 1,,No,Yes,No
215489205,AMANA,AXV6SA,AXV6SA1810,AMANA,,CAPEA2418,A*VT800804C*A*,17100,12,18.5,,,,,610,610,420,420,Active,Systems,RCUY-A-CB,Split,1,No,All,R-32,USA,CEE Tier 1,,No,Yes,No
215489207,AMANA,AXV6SA,AXV6SA1810,AMANA,,CAPEA3022,ADVT800803B,17100,12,18.5,,,,,610,610,420,420,Active,Systems,RCUY-A-CB,Split,1,No,All,R-32,USA,CEE Tier 1,,No,Yes,No
215489208,AMANA,AXV6SA,AXV6SA1810,AMANA,,CAPEA2418,ADVT800803B,17100,12,18.5,,,,,610,610,420,420,Active,Systems,RCUY-A-CB,Split,1,No,All,R-32,USA,CEE Tier 1,,No,Yes,No
215489210,AMANA,AXV6SA,AXV6SA1810,AMANA,,CAPEA3022,A*VT800604B*A*,17100,12,18.5,,,,,610,610,420,420,Active,Systems,RCUY-A-CB,Split,1,No,All,R-32,USA,CEE Tier 1,,No,Yes,No
215489211,AMANA,AXV6SA,AXV6SA1810,AMANA,,CAPEA2418,A*VT800604B*A*,17100,12,18.5,,,,,610,610,420,420,Active,Systems,RCUY-A-CB,Split,1,No,All,R-32,USA,CEE Tier 1,,No,Yes,No
215489213,AMANA,AXV6SA,AXV6SA1810,AMANA,,CAPEA3022,ADVT800603B,17100,12,18.5,,,,,610,610,420,420,Active,Systems,RCUY-A-CB,Split,1,No,All,R-32,USA,CEE Tier 1,,No,Yes,No
215489214,AMANA,AXV6SA,AXV6SA1810,AMANA,,CAPEA2418,ADVT800603B,17100,12,18.5,,,,,610,610,420,420,Active,Systems,RCUY-A-CB,Split,1,No,All,R-32,USA,CEE Tier 1,,No,Yes,No
215489215,AMANA,AXV6SA,AXV6SA1810,AMANA,,CAPEA3022,A*VS960805CUA*,17100,12,18.5,,,,,610,610,420,420,Active,Systems,RCUY-A-CB,Split,1,No,All,R-32,"USA, Canada",CEE Tier 1,,No,Yes,No
215489216,AMANA,AXV6SA,AXV6SA1810,AMANA,,CAPEA2418,A*VS960805CUA*,17100,12,18.5,,,,,610,610,420,420,Active,Systems,RCUY-A-CB,Split,1,No,All,R-32,"USA, Canada",CEE Tier 1,,No,Yes,No
215489218,AMANA,AXV6SA,AXV6SA1810,AMANA,,CAPEA3022,A*VS960603BUA*,17100,12,18.5,,,,,610,610,420,420,Active,Systems,RCUY-A-CB,Split,1,No,All,R-32,"USA, Canada",CEE Tier 1,,No,Yes,No
215489219,AMANA,AXV6SA,AXV6SA1810,AMANA,,CAPEA2418,A*VS960603BUA*,17100,12,18.5,,,,,610,610,420,420,Active,Systems,RCUY-A-CB,Split,1,No,All,R-32,"USA, Canada",CEE Tier 1,,No,Yes,No
215489220,AMANA,AXV6SA,AXV6SA1810,AMANA,,CAPEA3022,A*VS800805CUA*,17100,12,18.5,,,,,610,610,420,420,Active,Systems,RCUY-A-CB,Split,1,No,All,R-32,USA,CEE Tier 1,,No,Yes,No
215489221,AMANA,AXV6SA,AXV6SA1810,AMANA,,CAPEA2418,A*VS800805CUA*,17100,12,18.5,,,,,610,610,420,420,Active,Systems,RCUY-A-CB,Split,1,No,All,R-32,USA,CEE Tier 1,,No,Yes,No
215489223,AMANA,AXV6SA,AXV6SA1810,AMANA,,CAPEA3022,A*VS800604BUA*,17100,12,18.5,,,,,610,610,420,420,Active,Systems,RCUY-A-CB,Split,1,No,All,R-32,USA,CEE Tier 1,,No,Yes,No
215489224,AMANA,AXV6SA,AXV6SA1810,AMANA,,CAPEA2418,A*VS800604BUA*,17100,12,18.5,,,,,610,610,420,420,Active,Systems,RCUY-A-CB,Split,1,No,All,R-32,USA,CEE Tier 1,,No,Yes,No
215489225,AMANA,AXV6SA,AXV6SA1810,AMANA,,CAPEA3022,ADVM970804C,17100,12,18.5,,,,,610,610,420,420,Active,Systems,RCUY-A-CB,Split,1,No,All,R-32,"USA, Canada",CEE Tier 1,,No,Yes,No
215489226,AMANA,AXV6SA,AXV6SA1810,AMANA,,CAPEA2418,ADVM970804C,17100,12,18.5,,,,,610,610,420,420,Active,Systems,RCUY-A-CB,Split,1,No,All,R-32,"USA, Canada",CEE Tier 1,,No,Yes,No
215489228,AMANA,AXV6SA,AXV6SA1810,AMANA,,CAPEA3022,ADVM970803B,17100,12,18.5,,,,,610,610,420,420,Active,Systems,RCUY-A-CB,Split,1,No,All,R-32,"USA, Canada",CEE Tier 1,,No,Yes,No
215489229,AMANA,AXV6SA,AXV6SA1810,AMANA,,CAPEA2418,ADVM970803B,17100,12,18.5,,,,,610,610,420,420,Active,Systems,RCUY-A-CB,Split,1,No,All,R-32,"USA, Canada",CEE Tier 1,,No,Yes,No
215489231,AMANA,AXV6SA,AXV6SA1810,AMANA,,CAPEA3022,ADVM970603B,17100,12,18.5,,,,,610,610,420,420,Active,Systems,RCUY-A-CB,Split,1,No,All,R-32,"USA, Canada",CEE Tier 1,,No,Yes,No
215489232,AMANA,AXV6SA,AXV6SA1810,AMANA,,CAPEA2418,ADVM970603B,17100,12,18.5,,,,,610,610,420,420,Active,Systems,RCUY-A-CB,Split,1,No,All,R-32,"USA, Canada",CEE Tier 1,,No,Yes,No
215489965,AMANA,AXV6SA,AXV6SA1810,AMANA,,CAPEA3022,A*VC960804CNB*,17100,12,18.5,,,,,610,610,420,420,Active,Systems,RCUY-A-CB,Split,1,No,All,R-32,"USA, Canada",CEE Tier 1,,No,Yes,No
215489966,AMANA,AXV6SA,AXV6SA1810,AMANA,,CAPEA2418,A*VC960804CNB*,17100,12,18.5,,,,,610,610,420,420,Active,Systems,RCUY-A-CB,Split,1,No,All,R-32,"USA, Canada",CEE Tier 1,,No,Yes,No
215489968,AMANA,AXV6SA,AXV6SA1810,AMANA,,CAPEA3022,A*VC960803BNB*,17100,12,18.5,,,,,610,610,420,420,Active,Systems,RCUY-A-CB,Split,1,No,All,R-32,"USA, Canada",CEE Tier 1,,No,Yes,No
215489969,AMANA,AXV6SA,AXV6SA1810,AMANA,,CAPEA2418,A*VC960803BNB*,17100,12,18.5,,,,,610,610,420,420,Active,Systems,RCUY-A-CB,Split,1,No,All,R-32,"USA, Canada",CEE Tier 1,,No,Yes,No
215489971,AMANA,AXV6SA,AXV6SA1810,AMANA,,CAPEA3022,A*VC960603BNB*,17100,12,18.5,,,,,610,610,420,420,Active,Systems,RCUY-A-CB,Split,1,No,All,R-32,"USA, Canada",CEE Tier 1,,No,Yes,No
215489972,AMANA,AXV6SA,AXV6SA1810,AMANA,,CAPEA2418,A*VC960603BNB*,17100,12,18.5,,,,,610,610,420,420,Active,Systems,RCUY-A-CB,Split,1,No,All,R-32,"USA, Canada",CEE Tier 1,,No,Yes,No
215489974,AMANA,AXV6SA,AXV6SA1810,AMANA,,CAPEA3022,A*VC960403BNB*,17100,12,18.5,,,,,610,610,420,420,Active,Systems,RCUY-A-CB,Split,1,No,All,R-32,"USA, Canada",CEE Tier 1,,No,Yes,No
215489975,AMANA,AXV6SA,AXV6SA1810,AMANA,,CAPEA2418,A*VC960403BNB*,17100,12,18.5,,,,,610,610,420,420,Active,Systems,RCUY-A-CB,Split,1,No,All,R-32,"USA, Canada",CEE Tier 1,,No,Yes,No
215489976,AMANA,AXV6SA,AXV6SA1810,AMANA,,CAPEA3022,A*VC800805C*A*,17100,12,18.5,,,,,610,610,420,420,Active,Systems,RCUY-A-CB,Split,1,No,All,R-32,USA,CEE Tier 1,,No,Yes,No
215489977,AMANA,AXV6SA,AXV6SA1810,AMANA,,CAPEA2418,A*VC800805C*A*,17100,12,18.5,,,,,610,610,420,420,Active,Systems,RCUY-A-CB,Split,1,No,All,R-32,USA,CEE Tier 1,,No,Yes,No
215489978,AMANA,AXV6SA,AXV6SA1810,AMANA,,CAPEA3022,A*VC800804C*A*,17100,12,18.5,,,,,610,610,420,420,Active,Systems,RCUY-A-CB,Split,1,No,All,R-32,USA,CEE Tier 1,,No,Yes,No
215489979,AMANA,AXV6SA,AXV6SA1810,AMANA,,CAPEA2418,A*VC800804C*A*,17100,12,18.5,,,,,610,610,420,420,Active,Systems,RCUY-A-CB,Split,1,No,All,R-32,USA,CEE Tier 1,,No,Yes,No
215489981,AMANA,AXV6SA,AXV6SA1810,AMANA,,CAPEA3022,A*VC800803B*A*,17100,12,18.5,,,,,610,610,420,420,Active,Systems,RCUY-A-CB,Split,1,No,All,R-32,USA,CEE Tier 1,,No,Yes,No
215489982,AMANA,AXV6SA,AXV6SA1810,AMANA,,CAPEA2418,A*VC800803B*A*,17100,12,18.5,,,,,610,610,420,420,Active,Systems,RCUY-A-CB,Split,1,No,All,R-32,USA,CEE Tier 1,,No,Yes,No
215489984,AMANA,AXV6SA,AXV6SA1810,AMANA,,CAPEA3022,A*VC800604B*A*,17100,12,18.5,,,,,610,610,420,420,Active,Systems,RCUY-A-CB,Split,1,No,All,R-32,USA,CEE Tier 1,,No,Yes,No
215489985,AMANA,AXV6SA,AXV6SA1810,AMANA,,CAPEA2418,A*VC800604B*A*,17100,12,18.5,,,,,610,610,420,420,Active,Systems,RCUY-A-CB,Split,1,No,All,R-32,USA,CEE Tier 1,,No,Yes,No
215489987,AMANA,AXV6SA,AXV6SA1810,AMANA,,CAPEA3022,A*VC800603B*A*,17100,12,18.5,,,,,610,610,420,420,Active,Systems,RCUY-A-CB,Split,1,No,All,R-32,USA,CEE Tier 1,,No,Yes,No
215489988,AMANA,AXV6SA,AXV6SA1810,AMANA,,CAPEA2418,A*VC800603B*A*,17100,12,18.5,,,,,610,610,420,420,Active,Systems,RCUY-A-CB,Split,1,No,All,R-32,USA,CEE Tier 1,,No,Yes,No
215489989,AMANA,AXV6SA,AXV6SA1810,AMANA,,CAPEA3022,A*VM970804CNB*,17100,12,18.5,,,,,610,610,420,420,Active,Systems,RCUY-A-CB,Split,1,No,All,R-32,"USA, Canada",CEE Tier 1,,No,Yes,No
215489990,AMANA,AXV6SA,AXV6SA1810,AMANA,,CAPEA2418,A*VM970804CNB*,17100,12,18.5,,,,,610,610,420,420,Active,Systems,RCUY-A-CB,Split,1,No,All,R-32,"USA, Canada",CEE Tier 1,,No,Yes,No
215489992,AMANA,AXV6SA,AXV6SA1810,AMANA,,CAPEA3022,A*VM970803BNB*,17100,12,18.5,,,,,610,610,420,420,Active,Systems,RCUY-A-CB,Split,1,No,All,R-32,"USA, Canada",CEE Tier 1,,No,Yes,No
215489993,AMANA,AXV6SA,AXV6SA1810,AMANA,,CAPEA2418,A*VM970803BNB*,17100,12,18.5,,,,,610,610,420,420,Active,Systems,RCUY-A-CB,Split,1,No,All,R-32,"USA, Canada",CEE Tier 1,,No,Yes,No
215489995,AMANA,AXV6SA,AXV6SA1810,AMANA,,CAPEA3022,A*VM970603BNB*,17100,12,18.5,,,,,610,610,420,420,Active,Systems,RCUY-A-CB,Split,1,No,All,R-32,"USA, Canada",CEE Tier 1,,No,Yes,No
215489996,AMANA,AXV6SA,AXV6SA1810,AMANA,,CAPEA2418,A*VM970603BNB*,17100,12,18.5,,,,,610,610,420,420,Active,Systems,RCUY-A-CB,Split,1,No,All,R-32,"USA, Canada",CEE Tier 1,,No,Yes,No
215489997,AMANA,AXV6SA,AXV6SA2410,AMANA,,CAPEA3626,A*VC960804CNB*,23200,10.2,18,,,,,800,800,560,560,Active,Systems,RCUY-A-CB,Split,1,No,All,R-32,"USA, Canada",,,No,No,No
215489998,AMANA,AXV6SA,AXV6SA2410,AMANA,,CAPEA3022,A*VC960804CNB*,23200,10.2,18,,,,,800,800,560,560,Active,Systems,RCUY-A-CB,Split,1,No,All,R-32,"USA, Canada",,,No,No,No
215489999,AMANA,AXV6SA,AXV6SA2410,AMANA,,CAPEA2418,A*VC960804CNB*,23200,10.2,18,,,,,800,800,560,560,Active,Systems,RCUY-A-CB,Split,1,No,All,R-32,"USA, Canada",,,No,No,No
215490002,AMANA,AXV6SA,AXV6SA2410,AMANA,,CAPEA3626,A*VC960803BNB*,23200,10.2,18,,,,,800,800,560,560,Active,Systems,RCUY-A-CB,Split,1,No,All,R-32,"USA, Canada",,,No,No,No
215490003,AMANA,AXV6SA,AXV6SA2410,AMANA,,CAPEA3022,A*VC960803BNB*,23200,10.2,18,,,,,800,800,560,560,Active,Systems,RCUY-A-CB,Split,1,No,All,R-32,"USA, Canada",,,No,No,No
215490004,AMANA,AXV6SA,AXV6SA2410,AMANA,,CAPEA2418,A*VC960803BNB*,23200,10.2,18,,,,,800,800,560,560,Active,Systems,RCUY-A-CB,Split,1,No,All,R-32,"USA, Canada",,,No,No,No
215490007,AMANA,AXV6SA,AXV6SA2410,AMANA,,CAPEA3626,A*VC960603BNB*,23200,10.2,18,,,,,800,800,560,560,Active,Systems,RCUY-A-CB,Split,1,No,All,R-32,"USA, Canada",,,No,No,No
215490008,AMANA,AXV6SA,AXV6SA2410,AMANA,,CAPEA3022,A*VC960603BNB*,23200,10.2,18,,,,,800,800,560,560,Active,Systems,RCUY-A-CB,Split,1,No,All,R-32,"USA, Canada",,,No,No,No
215490009,AMANA,AXV6SA,AXV6SA2410,AMANA,,CAPEA2418,A*VC960603BNB*,23200,10.2,18,,,,,800,800,560,560,Active,Systems,RCUY-A-CB,Split,1,No,All,R-32,"USA, Canada",,,No,No,No
215490012,AMANA,AXV6SA,AXV6SA2410,AMANA,,CAPEA3626,A*VC960403BNB*,23200,10.2,18,,,,,800,800,560,560,Active,Systems,RCUY-A-CB,Split,1,No,All,R-32,"USA, Canada",,,No,No,No
215490013,AMANA,AXV6SA,AXV6SA2410,AMANA,,CAPEA3022,A*VC960403BNB*,23200,10.2,18,,,,,800,800,560,560,Active,Systems,RCUY-A-CB,Split,1,No,All,R-32,"USA, Canada",,,No,No,No
215490014,AMANA,AXV6SA,AXV6SA2410,AMANA,,CAPEA2418,A*VC960403BNB*,23200,10.2,18,,,,,800,800,560,560,Active,Systems,RCUY-A-CB,Split,1,No,All,R-32,"USA, Canada",,,No,No,No
215490016,AMANA,AXV6SA,AXV6SA2410,AMANA,,CAPEA3626,A*VC800805C*A*,23200,10.2,18,,,,,800,800,560,560,Active,Systems,RCUY-A-CB,Split,1,No,All,R-32,USA,,,No,No,No
215490017,AMANA,AXV6SA,AXV6SA2410,AMANA,,CAPEA3022,A*VC800805C*A*,23200,10.2,18,,,,,800,800,560,560,Active,Systems,RCUY-A-CB,Split,1,No,All,R-32,USA,,,No,No,No
215490018,AMANA,AXV6SA,AXV6SA2410,AMANA,,CAPEA2418,A*VC800805C*A*,23200,10.2,18,,,,,800,800,560,560,Active,Systems,RCUY-A-CB,Split,1,No,All,R-32,USA,,,No,No,No
215490020,AMANA,AXV6SA,AXV6SA2410,AMANA,,CAPEA3626,A*VC800804C*A*,23200,10.2,18,,,,,800,800,560,560,Active,Systems,RCUY-A-CB,Split,1,No,All,R-32,USA,,,No,No,No
215490021,AMANA,AXV6SA,AXV6SA2410,AMANA,,CAPEA3022,A*VC800804C*A*,23200,10.2,18,,,,,800,800,560,560,Active,Systems,RCUY-A-CB,Split,1,No,All,R-32,USA,,,No,No,No
215490022,AMANA,AXV6SA,AXV6SA2410,AMANA,,CAPEA2418,A*VC800804C*A*,23200,10.2,18,,,,,800,800,560,560,Active,Systems,RCUY-A-CB,Split,1,No,All,R-32,USA,,,No,No,No
215490025,AMANA,AXV6SA,AXV6SA2410,AMANA,,CAPEA3626,A*VC800803B*A*,23200,10.2,18,,,,,800,800,560,560,Active,Systems,RCUY-A-CB,Split,1,No,All,R-32,USA,,,No,No,No
215490026,AMANA,AXV6SA,AXV6SA2410,AMANA,,CAPEA3022,A*VC800803B*A*,23200,10.2,18,,,,,800,800,560,560,Active,Systems,RCUY-A-CB,Split,1,No,All,R-32,USA,,,No,No,No
215490027,AMANA,AXV6SA,AXV6SA2410,AMANA,,CAPEA2418,A*VC800803B*A*,23200,10.2,18,,,,,800,800,560,560,Active,Systems,RCUY-A-CB,Split,1,No,All,R-32,USA,,,No,No,No
215490030,AMANA,AXV6SA,AXV6SA2410,AMANA,,CAPEA3626,A*VC800604B*A*,23200,10.2,18,,,,,800,800,560,560,Active,Systems,RCUY-A-CB,Split,1,No,All,R-32,USA,,,No,No,No
215490031,AMANA,AXV6SA,AXV6SA2410,AMANA,,CAPEA3022,A*VC800604B*A*,23200,10.2,18,,,,,800,800,560,560,Active,Systems,RCUY-A-CB,Split,1,No,All,R-32,USA,,,No,No,No
215490032,AMANA,AXV6SA,AXV6SA2410,AMANA,,CAPEA2418,A*VC800604B*A*,23200,10.2,18,,,,,800,800,560,560,Active,Systems,RCUY-A-CB,Split,1,No,All,R-32,USA,,,No,No,No
215490035,AMANA,AXV6SA,AXV6SA2410,AMANA,,CAPEA3626,A*VC800603B*A*,23200,10.2,18,,,,,800,800,560,560,Active,Systems,RCUY-A-CB,Split,1,No,All,R-32,USA,,,No,No,No
215490036,AMANA,AXV6SA,AXV6SA2410,AMANA,,CAPEA3022,A*VC800603B*A*,23200,10.2,18,,,,,800,800,560,560,Active,Systems,RCUY-A-CB,Split,1,No,All,R-32,USA,,,No,No,No
215490037,AMANA,AXV6SA,AXV6SA2410,AMANA,,CAPEA2418,A*VC800603B*A*,23200,10.2,18,,,,,800,800,560,560,Active,Systems,RCUY-A-CB,Split,1,No,All,R-32,USA,,,No,No,No
215490039,AMANA,AXV6SA,AXV6SA2410,AMANA,,CAPEA3626,A*VM970804CNB*,23200,10.2,18,,,,,800,800,560,560,Active,Systems,RCUY-A-CB,Split,1,No,All,R-32,"USA, Canada",,,No,No,No
215490040,AMANA,AXV6SA,AXV6SA2410,AMANA,,CAPEA3022,A*VM970804CNB*,23200,10.2,18,,,,,800,800,560,560,Active,Systems,RCUY-A-CB,Split,1,No,All,R-32,"USA, Canada",,,No,No,No
215490041,AMANA,AXV6SA,AXV6SA2410,AMANA,,CAPEA2418,A*VM970804CNB*,23200,10.2,18,,,,,800,800,560,560,Active,Systems,RCUY-A-CB,Split,1,No,All,R-32,"USA, Canada",,,No,No,No
215490044,AMANA,AXV6SA,AXV6SA2410,AMANA,,CAPEA3626,A*VM970803BNB*,23200,10.2,18,,,,,800,800,560,560,Active,Systems,RCUY-A-CB,Split,1,No,All,R-32,"USA, Canada",,,No,No,No
215490045,AMANA,AXV6SA,AXV6SA2410,AMANA,,CAPEA3022,A*VM970803BNB*,23200,10.2,18,,,,,800,800,560,560,Active,Systems,RCUY-A-CB,Split,1,No,All,R-32,"USA, Canada",,,No,No,No
215490046,AMANA,AXV6SA,AXV6SA2410,AMANA,,CAPEA2418,A*VM970803BNB*,23200,10.2,18,,,,,800,800,560,560,Active,Systems,RCUY-A-CB,Split,1,No,All,R-32,"USA, Canada",,,No,No,No
215490049,AMANA,AXV6SA,AXV6SA2410,AMANA,,CAPEA3626,A*VM970603BNB*,23200,10.2,18,,,,,800,800,560,560,Active,Systems,RCUY-A-CB,Split,1,No,All,R-32,"USA, Canada",,,No,No,No
215490050,AMANA,AXV6SA,AXV6SA2410,AMANA,,CAPEA3022,A*VM970603BNB*,23200,10.2,18,,,,,800,800,560,560,Active,Systems,RCUY-A-CB,Split,1,No,All,R-32,"USA, Canada",,,No,No,No
215490051,AMANA,AXV6SA,AXV6SA2410,AMANA,,CAPEA2418,A*VM970603BNB*,23200,10.2,18,,,,,800,800,560,560,Active,Systems,RCUY-A-CB,Split,1,No,All,R-32,"USA, Canada",,,No,No,No
215489234,AMANA,AXV6SA,AXV6SA2410,AMANA,,CAPEA3626+MBVK16CP1X00A*,,23200,10.2,18,,,,,800,800,560,560,Active,Systems,RCU-A-CB,Split,1,No,All,R-32,"USA, Canada",,,No,No,No
215489235,AMANA,AXV6SA,AXV6SA2410,AMANA,,CAPEA3022+MBVK16CP1X00A*,,23200,10.2,18,,,,,800,800,560,560,Active,Systems,RCU-A-CB,Split,1,No,All,R-32,"USA, Canada",,,No,No,No
215489236,AMANA,AXV6SA,AXV6SA2410,AMANA,,CAPEA2418+MBVK16CP1X00A*,,23200,10.2,18,,,,,800,800,560,560,Active,Systems,RCU-A-CB,Split,1,No,All,R-32,"USA, Canada",,,No,No,No
215489239,AMANA,AXV6SA,AXV6SA2410,AMANA,,CAPEA3626+MBVK12BP1X00A*,,23200,10.2,18,,,,,800,800,560,560,Active,Systems,RCU-A-CB,Split,1,No,All,R-32,"USA, Canada",,,No,No,No
215489240,AMANA,AXV6SA,AXV6SA2410,AMANA,,CAPEA3022+MBVK12BP1X00A*,,23200,10.2,18,,,,,800,800,560,560,Active,Systems,RCU-A-CB,Split,1,No,All,R-32,"USA, Canada",,,No,No,No
215489241,AMANA,AXV6SA,AXV6SA2410,AMANA,,CAPEA2418+MBVK12BP1X00A*,,23200,10.2,18,,,,,800,800,560,560,Active,Systems,RCU-A-CB,Split,1,No,All,R-32,"USA, Canada",,,No,No,No
215489242,AMANA,AXV6SA,AXV6SA2410,AMANA,,CAPEA3626,ADVT960804C,23200,10.2,18,,,,,800,800,560,560,Active,Systems,RCUY-A-CB,Split,1,No,All,R-32,"USA, Canada",,,No,No,No
215489243,AMANA,AXV6SA,AXV6SA2410,AMANA,,CAPEA3022,ADVT960804C,23200,10.2,18,,,,,800,800,560,560,Active,Systems,RCUY-A-CB,Split,1,No,All,R-32,"USA, Canada",,,No,No,No
215489244,AMANA,AXV6SA,AXV6SA2410,AMANA,,CAPEA2418,ADVT960804C,23200,10.2,18,,,,,800,800,560,560,Active,Systems,RCUY-A-CB,Split,1,No,All,R-32,"USA, Canada",,,No,No,No
215489247,AMANA,AXV6SA,AXV6SA2410,AMANA,,CAPEA3626,A*VT960803BNA*,23200,10.2,18,,,,,800,800,560,560,Active,Systems,RCUY-A-CB,Split,1,No,All,R-32,"USA, Canada",,,No,No,No
215489248,AMANA,AXV6SA,AXV6SA2410,AMANA,,CAPEA3022,A*VT960803BNA*,23200,10.2,18,,,,,800,800,560,560,Active,Systems,RCUY-A-CB,Split,1,No,All,R-32,"USA, Canada",,,No,No,No
215489249,AMANA,AXV6SA,AXV6SA2410,AMANA,,CAPEA2418,A*VT960803BNA*,23200,10.2,18,,,,,800,800,560,560,Active,Systems,RCUY-A-CB,Split,1,No,All,R-32,"USA, Canada",,,No,No,No
215489252,AMANA,AXV6SA,AXV6SA2410,AMANA,,CAPEA3626,ADVT960603B,23200,10.2,18,,,,,800,800,560,560,Active,Systems,RCUY-A-CB,Split,1,No,All,R-32,"USA, Canada",,,No,No,No
215489253,AMANA,AXV6SA,AXV6SA2410,AMANA,,CAPEA3022,ADVT960603B,23200,10.2,18,,,,,800,800,560,560,Active,Systems,RCUY-A-CB,Split,1,No,All,R-32,"USA, Canada",,,No,No,No
215489254,AMANA,AXV6SA,AXV6SA2410,AMANA,,CAPEA2418,ADVT960603B,23200,10.2,18,,,,,800,800,560,560,Active,Systems,RCUY-A-CB,Split,1,No,All,R-32,"USA, Canada",,,No,No,No
215489257,AMANA,AXV6SA,AXV6SA2410,AMANA,,CAPEA3626,ADVT960403B,23200,10.2,18,,,,,800,800,560,560,Active,Systems,RCUY-A-CB,Split,1,No,All,R-32,"USA, Canada",,,No,No,No
